Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(C(C)(C)C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,123.0,nM,CHEMBL562676,123.0,3.6513000000000027,91.02000000000001,563.7240000000003,6.910094888560602
Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(CCC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,69.0,nM,CHEMBL560061,69.0,3.306300000000002,91.02000000000001,549.6970000000003,7.161150909262744
Cn1c(N2CCN(CCN3c4ccccc4Sc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,124.0,nM,CHEMBL564168,124.0,2.2070999999999996,91.02000000000001,493.5890000000004,6.906578314837765
Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,23.0,nM,CHEMBL564370,23.0,2.987300000000002,91.02000000000001,521.6430000000004,7.638272163982407
Cn1c(NCCCN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)cc(=O)n(C)c1=O,28.0,nM,CHEMBL560120,28.0,2.7362,68.5,441.35900000000026,7.552841968657781
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,3.183,nM,CHEMBL1201203,3.183,4.417800000000004,12.47,307.43700000000007,8.497163361378997
COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)CCN(C(=O)c3ccccc3)C2)cc1OC,240.0,nM,CHEMBL327497,240.0,7.009800000000007,76.9,674.8170000000002,6.619788758288394
Cn1c(N2CCCN(CCCN3c4ccccc4COc4ccc(C(C)(C)C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,150.0,nM,CHEMBL1774495,150.0,3.079100000000002,100.25,561.6830000000003,6.823908740944319
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,39.6,nM,CHEMBL716,39.6,2.8560000000000016,48.300000000000004,383.51700000000017,7.402304814074488
Cc1ccc2c(c1)c1c(n2CCc2cnccn2)CCN(C)C1,7940.0,nM,CHEMBL1783970,7940.0,2.970320000000001,33.95,306.41300000000007,5.100179497572904
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5[nH]4)CC3)(c3ccccc3)C2)cc(OC)c1OC,500.0,nM,CHEMBL330499,500.0,5.357600000000005,96.99000000000001,596.7280000000002,6.301029995663981
CCOc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(OC)c(OC)c3)C2)cc(OCC)c1OCC.O=C(O)/C=C/C(=O)O,158.0,nM,CHEMBL330367,158.0,7.917700000000009,179.19,923.0479999999998,6.801342913045577
CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,2.344,nM,CHEMBL315772,2.344,4.057400000000003,15.71,328.8430000000001,8.630042392653946
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1.4,nM,CHEMBL511,1.4,2.658400000000001,28.6,285.391,8.853871964321762
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,17.0,nM,CHEMBL71,17.0,4.894400000000004,6.48,318.8730000000001,7.769551078621726
Cc1cc(N(C)C)nc(N[C@H]2CC[C@@H](NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)n1,1210.0,nM,CHEMBL583014,1210.0,5.041720000000004,70.15,489.4640000000001,5.91721462968355
Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)CC2)nc1N(C)C,810.0,nM,CHEMBL565551,810.0,3.1432200000000012,70.14999999999999,371.46000000000015,6.0915149811213505
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,361.0,nM,CHEMBL621,361.0,2.3617,45.78,371.8720000000001,6.442492798094342
Cn1c(N2CCCN(CC/C=C3/c4ccccc4CCc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,153.0,nM,CHEMBL1774507,153.0,2.914900000000002,87.78,514.6260000000003,6.815308569182402
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccccc3)C2)cc(OC)c1OC,6.63,nM,CHEMBL98079,6.63,7.018400000000009,86.13000000000001,704.843,8.178486471595226
CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,6.761,nM,CHEMBL83658,6.761,3.4040000000000026,15.71,294.398,8.169989064063882
